,sighted_timestamp,city,state,country,shape,duration_seconds,duration_mins,comments,date_posted,latitude,longitude
729,9/28/2008 01:30,anacortes,wa,us,changing,300.0,5 min,as soon as we all saw the light&#44 a blanket of light&#44 then black showed under it and it disappeard.,10/31/2008,48.5127778,-122.6113889
730,9/28/2008 11:00,austin,tx,us,triangle,300.0,0:5:00,Triangle shaped UFO in the sky over city park in Austin&#44 Tx.,10/31/2008,30.266944399999996,-97.7427778
731,9/28/2008 19:20,crestview,fl,us,sphere,60.0,1 minute,taken at night before the moon rose and there was 2 objects in the sky,10/31/2008,30.761944399999997,-86.57055559999999
732,9/28/2008 19:23,flagstaff,az,us,other,60.0,1 minute,Two UFOs over Flagstaff in the Constellation of Cassiopeia,10/31/2008,35.1980556,-111.65055559999999
733,9/28/2008 19:32,bournemouth (uk/england),,gb,circle,300.0,5 mins,A super bright light&#44 constant&#44 in a straight line&#44 no noise or flashing&#33&#33,10/31/2008,50.716667,-1.8833330000000001
734,9/28/2008 19:41,carlow (ireland),,,light,300.0,5 mins,a ball of light moving very  slow,10/31/2008,53.758683999999995,10.936472
735,9/28/2008 20:30,knoxville,tn,us,light,120.0,2 minutes,Orangish&#44 white &quot;stars&quot; or &quot;planets&quot; in Orion&#39s Belt&#44 then moved and flew off,10/31/2008,35.960555600000006,-83.9208333
736,9/28/2008 20:59,selborne (hampshire) (uk/england),,gb,light,2700.0,about 45 minutes,Pulsating orange light or lights(or Orbs) that moved up and down in the sky before Disappearing,10/31/2008,51.083333,-0.933333
737,9/28/2008 21:00,gettysburg,pa,us,light,120.0,1-2 minutes,Bright White Light at Night,10/31/2008,39.8308333,-77.23138890000001
738,9/28/2008 21:00,st. petersburg,fl,us,diamond,900.0,10-15mins,Large&#44 dark&#44 diamond-shaped object hovering,10/31/2008,27.770555600000005,-82.67944440000001
739,9/28/2008 21:30,pensacola,fl,us,oval,120.0,2 mins,Oval shape UFO over Pensacola,10/31/2008,30.421111100000005,-87.2169444
740,9/28/2008 22:00,rice,wa,us,light,300.0,5 minutes,2 Multi-colored&#44 flashing&#44 sparkling  lights,10/31/2008,48.4288889,-118.16916670000002
741,9/28/2008 22:30,cape coral,fl,us,circle,5.0,>5 seconds,Bluish circle moved quickly across the sky and dsappeared,10/31/2008,26.5625,-81.94972220000001
742,9/28/2009 04:15,fort worth,tx,us,other,20.0,20 seconds,Boomerang shaped craft glides across the sky early in the morning,12/12/2009,32.7252778,-97.32055559999999
